id;name;code;address;tel;type;email
1;Vilniaus Ateities mokykla;190003666;Vilniaus m. sav. Vilniaus m. S. Stanevičiaus g. 98;37052478447;Pagrindinė mokykla;rastine@ateities.vilnius.lm.lt
2;Vilniaus Atgajos specialioji mokykla;190981194;Viršuliškių g. 103, Vilnius;37052416060;Pagrindinė mokykla;rastine@atgajos.vilnius.lm.lt
3;Vilniaus Atžalyno mokykla-darželis;191665861;Vilniaus m. sav. Vilniaus m. Genių g. 25;37052671934;Pradinė mokykla;rastine@atzalyno.vilnius.lm.lt
4;Vilniaus Aušros mokykla-darželis;190032365;Medeinos g. 5, Vilnius;37052470411;Pradinė mokykla;rastine@ausros.vilnius.lm.lt
5;Vilniaus Ąžuolyno progimnazija;190006395;Vilniaus m. sav. Vilniaus m. Architektų g. 68;37052459885;Progimnazija;rastine@azuolyno.vilnius.lm.lt
6;Vilniaus Genio progimnazija;191665719;Vilniaus m. sav. Vilniaus m. Miglos g. 1;37052790346;Progimnazija;rastine@genio.vilnius.lm.lt
7;Vilniaus Gijos jaunimo mokykla;290010850;Vilniaus m. sav. Vilniaus m. Kauno g. 43;37052767430;Pagrindinė mokykla;rastine@gijos.vilnius.lm.lt
8;Vilniaus Juventos gimnazija;190008599;Telšių g. 2, Vilnius;37052695589;Gimnazija;rastine@juventos.vilnius.lm.lt
9;Vilniaus Laisvės gimnazija;190007682;Vilniaus m. sav. Vilniaus m. Darželio g. 2;37052671406;Gimnazija;rastine@laisves.vilnius.lm.lt
10;Vilniaus Minties gimnazija;190005717;Vilniaus m. sav. Vilniaus m. Erfurto g. 23;37052456690;Gimnazija;rastine@minties.vilnius.lm.lt
11;Vilniaus Pelėdos pradinė mokykla;190016165;Taikos g. 97, Vilnius;37052427001;Pradinė mokykla;rastine@peledos.vilnius.lm.lt
12;Vilniaus Ryto progimnazija;190006057;Dariaus Gerbutavičiaus g. 9, Vilnius;37052454198;Progimnazija;rastine@ryto.vilnius.lm.lt
13;Vilniaus Santaros gimnazija;304089960;Vilniaus m. sav. Vilniaus m. A. Juozapavičiaus g. 12;37052724841;Gimnazija;rastine@santaros.vilnius.lm.lt
15;Vilniaus Saulėtekio mokykla-daugiafunkcis centras;190007497;Vilniaus m. sav. Vilniaus m. Kaminkelio g. 10;37052695355;Pagrindinė mokykla;rastine@sauletekio.vilnius.lm.lt
16;Vilniaus Sietuvos progimnazija;190008784;Vilniaus m. sav. Vilniaus m. Taikos g. 47;37052475280;Progimnazija;rastine@sietuvos.vilnius.lm.lt
17;Vilniaus Spindulio progimnazija;190006242;Vilniaus m. sav. Vilniaus m. Rolando Jankausko g. 17;37052444781;Progimnazija;rastine@spindulio.vilnius.lm.lt
18;Vilniaus Šviesos pradinė mokykla;191665480;Vilniaus m. sav. Vilniaus m. Fabijoniškių g. 23;37052724272;Pradinė mokykla;rastine@sviesospradine.vilnius.lm.lt
19;Vilniaus Taikos progimnazija;195007889;Vilniaus m. sav. Vilniaus m. Taikos g. 157;37052400455;Progimnazija;rastine@taikos.vilnius.lm.lt
20;Vilniaus Varpo suaugusiųjų gimnazija;190009886;Vilniaus m. sav. Vilniaus m. V. Šopeno g. 8;37052133427;Gimnazija;rastine@varpo.vilnius.lm.lt
21;Vilniaus Vilnies pagrindinė mokykla;191715435;Vilniaus m. sav. Vilniaus m. Švarioji g. 33;37052382701;Pagrindinė mokykla;rastine@vilnies.vilnius.lm.lt
22;Vilniaus Vilties specialioji mokykla-daugiafunkcinis centras;190034188;Igno Šimulionio g. 6, Vilnius;37052442622;Pagrindinė mokykla;rastine@viltis.vilnius.lm.lt
23;Vilniaus Vyturio pradinė mokykla;190009167;Taikos g. 189, Vilnius;37052460740;Pradinė mokykla;rastine@vyturio.vilnius.lm.lt
24;Vilniaus Žaros gimnazija;190007910;Vilniaus m. sav. Vilniaus m. Karklėnų g. 13;37052674714;Gimnazija;rastine@zaros.vilnius.lm.lt
25;Vilniaus Žiburio pradinė mokykla;190022638;Vilniaus m. sav. Vilniaus m. Tuskulėnų g. 30;37052758310;Pradinė mokykla;rastine@ziburio.vilnius.lm.lt
26;Vilniaus Židinio suaugusiųjų gimnazija;190009733;Algirdo g. 23A, Vilnius;37052330133;Gimnazija;rastine@zidinio.vilnius.lm.lt
27;Vilniaus Abraomo Kulviečio klasikinė gimnazija;195005870;Vilniaus m. sav. Vilniaus m. Gedvydžių g. 8;37052461370;Gimnazija;rastine@kulviecio.vilnius.lm.lt
28;Vilniaus Adomo Mickevičiaus gimnazija;190006961;Vilniaus m. sav. Vilniaus m. Kruopų g. 11;37052135501;Gimnazija;rastine@mickeviciaus.vilnius.lm.lt
29;Vilniaus Aleksandro Puškino mokykla;190003470;Vilniaus m. sav. Vilniaus m. Gabijos g. 8;37052473516;Pagrindinė mokykla;rastine@puskino.vilnius.lm.lt
30;Vilniaus Antakalnio gimnazija;302817872;Vilniaus m. sav. Vilniaus m. Antakalnio g. 33;37052341802;Gimnazija;rastine@antakalnio.vilnius.lm.lt
